point#,speed score,accn score,jerk score,point score,distance weight
0,100,0,0,100.0,3.4914739999985613
1,100,100,0,100.0,3.3304410000000644
2,100,98.2139684162943,100,99.39274926154008,3.274734000000535
3,100,100,100,100.0,2.959027999999307
4,100,100,100,100.0,2.7566030000016326
5,100,100,100,100.0,2.6562699999994948
6,100,0,0,100.0,2.496470000000045
7,100,0,0,100.0,2.610174999999799
8,100,100,0,100.0,2.3297160000001895
9,100,0,0,100.0,2.2383329999993293
10,100,0,0,100.0,2.2229239999996935
11,100,0,0,100.0,2.237391000000571
12,100,100,0,100.0,2.2937369999999646
13,100,100,100,100.0,2.0635110000002896
14,100,100,100,100.0,2.1366980000002513
15,100,100,100,100.0,1.861627000000226
16,100,100,100,100.0,1.617473999998765
17,100,100,100,100.0,1.6141939999997703
18,100,100,100,100.0,1.2869580000005953
19,100,100,100,100.0,1.0341490000009799
20,100,100,49.26532,83.2575556,0.7068979999985459
21,100,100,100,100.0,0.540621000000101
22,100,0,0,100.0,0.41975900000034017
23,100,0,0,100.0,0.43386699999973644
24,100,0,0,100.0,0.42635599999994156
25,100,0,0,100.0,0.47107099999993807
26,100,100,0,100.0,0.5492080000003625
27,100,100,100,100.0,0.8691140000009909
28,100,100,100,100.0,1.1205949999985023
29,100,100,0,100.0,0.9762490000011894
30,100,100,100,100.0,0.8399790000003122
31,100,100,100,100.0,0.6799549999996088
32,100,100,100,100.0,0.555527999998958
33,100,0,0,100.0,0.4532630000012432
34,100,0,0,100.0,0.46461099999942235
35,100,0,0,100.0,0.4503440000007686
