point#,speed score,accn score,jerk score,point score,distance weight
0,100,0,0,100.0,5.973813
1,100,0,0,100.0,6.069245
2,100,100,0,100.0,6.152749
3,100,0,0,100.0,6.459515
4,100,100,0,100.0,6.650265
5,100,100,100,100.0,6.69925
6,100,0,0,100.0,7.222919
7,100,97.3107075598601,0,98.65535377993005,6.995613
8,100,0,0,100.0,7.158623
9,100,0,0,100.0,7.057614
10,100,0,0,100.0,7.051902
11,100,0,0,100.0,7.396042
12,100,0,0,100.0,7.282304
13,100,94.07977956027467,0,97.03988978013734,7.755636
14,100,0,0,100.0,7.285444
15,100,100,0,100.0,7.331486
16,100,84.11654405167772,0,92.05827202583886,7.558912
17,100,100,0,100.0,7.404006
